"Order Id","Order Date","Note","Added By","Added On"
"309595","01-Apr-2019 12:12:49 PM","","",""
" "," ","Paying By BACS","","01-Apr-2019 04:20:45 PM"
"309641","02-Apr-2019 10:57:06 AM","","",""
" "," ","Proforma Invoice Sent To Natasha","","02-Apr-2019 01:12:36 PM"
"309708","03-Apr-2019 03:48:39 PM","","",""
" "," ","Customer paying on Proforma Invoice","","04-Apr-2019 04:17:18 PM"
"309772","05-Apr-2019 12:44:32 PM","","",""
" "," ","The client will be paying by Bacs","","05-Apr-2019 02:04:45 PM"
"310497","24-Apr-2019 11:24:01 AM","","",""
" "," ","The BACS payment is being made by ASPIRE","","24-Apr-2019 02:29:02 PM"
