"Order Id","Order Date","Note","Added By","Added On"
"315954","03-Sep-2019 11:37:49 PM","","",""
" "," ","Customer Requires the Captains Seat at £100 Extra","","05-Sep-2019 03:41:50 PM"
"316046","06-Sep-2019 10:33:38 AM","","",""
" "," ","Order Despatched and Received","","18-Sep-2019 10:59:38 AM"
"316180","09-Sep-2019 04:36:06 PM","","",""
" "," ","item out of stock customer happy to wait for restocking.","Mr.Andrew Ball","12-Sep-2019 03:07:59 PM"
"316258","11-Sep-2019 10:33:14 AM","","",""
" "," ","Deposit of £156.99 paid and the balance of £1400.00 to be paid to the driver on delivery.

Please note, that the controls are to be fitted to the left armrest","Mr.Andrew Ball","11-Sep-2019 11:05:52 AM"
" "," ","Payment taken on delivery","Mr.Andrew Ball","17-Sep-2019 11:18:25 AM"
"316273","11-Sep-2019 03:15:03 PM","","",""
" "," ","Remittance advice email received 18th Sept 2019","Mr.Andrew Ball","19-Sep-2019 09:18:20 AM"
