"Order Id","Order Date","Note","Added By","Added On"
"291292","01-Feb-2018 03:41:58 PM","","",""
" "," ","TAKEN UNLINED PONCHO AS LINED ARE OUT OF STOCK WITH SIMPLANTEX. CUSTOMER HAS PAID £25.95 FOR AIDAPT PONCHO INC DELIVERY.","Mr.Andrew Ball","19-Feb-2018 11:01:15 AM"
"291395","04-Feb-2018 05:17:34 PM","","",""
" "," ","ab SWAPPED TO A 670 CHAIR BED AQUA","Mr.Chris Dillon - Snr","19-Feb-2018 11:20:36 AM"
"291465","06-Feb-2018 11:23:41 AM","","",""
" "," ","12 steps to go up to front of house.","Mr.Andrew Ball","06-Feb-2018 03:26:17 PM"
"291535","07-Feb-2018 04:21:14 PM","","",""
" "," ","AB changed scoot to prism sport as no pride till march","Mr.Chris Dillon - Snr","14-Feb-2018 10:56:40 AM"
"291568","08-Feb-2018 11:57:38 AM","","",""
" "," ","sent via apc","Mr.Andrew Ball","08-Feb-2018 12:05:38 PM"
"292071","20-Feb-2018 03:01:57 PM","","",""
" "," ","Customer paid in full by card Â£1097.98
Shipping to Spain","Mr.Andrew Ball","20-Feb-2018 04:06:35 PM"
"292140","22-Feb-2018 10:10:19 AM","","",""
" "," ","andrew spoken to, card declined - sounds dodgy!","Mr.Chris Dillon - Snr","27-Feb-2018 08:32:55 AM"
